,Selling Price,MRP,Discount,Rating,Discount_Amount,Discount_Computed_%,Gender,Color,Fit,Product_Type,Print_Type,Category
0,399,999.0,60.0,4.6,600.0,60.1,Men,White,Unknown,T-Shirt,Solid,Topwear
1,699,1349.0,48.0,4.6,650.0,48.2,Men,Black,Oversized,T-Shirt,Solid,Topwear
2,599,1899.0,68.0,4.6,1300.0,68.5,Men,Lavender,Oversized,T-Shirt,Graphic,Topwear
3,599,1899.0,68.0,4.6,1300.0,68.5,Men,Beige,Oversized,T-Shirt,Typography,Topwear
4,799,2199.0,63.0,4.6,1400.0,63.7,Men,Black,Oversized,T-Shirt,Graphic,Topwear
5,499,999.0,50.0,4.6,500.0,50.1,Men,Black,Unknown,T-Shirt,Graphic,Topwear
6,699,1449.0,51.0,4.6,750.0,51.8,Men,Black,Oversized,T-Shirt,Solid,Topwear
7,449,1099.0,59.0,4.6,650.0,59.1,Men,Blue,Unknown,T-Shirt,Graphic,Topwear
8,499,999.0,50.0,4.6,500.0,50.1,Men,Black,Unknown,T-Shirt,Graphic,Topwear
9,699,1699.0,58.0,4.6,1000.0,58.9,Men,Brown,Oversized,T-Shirt,Graphic,Topwear
10,499,1149.0,56.0,4.6,650.0,56.6,Men,Blue,Unknown,T-Shirt,Graphic,Topwear
11,699,1449.0,51.0,4.6,750.0,51.8,Men,Green,Oversized,T-Shirt,Graphic,Topwear
12,499,1149.0,56.0,4.6,650.0,56.6,Men,Blue,Unknown,T-Shirt,Graphic,Topwear
13,399,999.0,60.0,4.6,600.0,60.1,Men,Blue,Unknown,T-Shirt,Solid,Topwear
14,599,1349.0,55.0,4.6,750.0,55.6,Men,Black,Oversized,T-Shirt,Solid,Topwear
15,699,1499.0,53.0,4.6,800.0,53.4,Men,Black,Oversized,T-Shirt,Graphic,Topwear
16,799,1699.0,52.0,4.6,900.0,53.0,Men,White,Oversized,T-Shirt,Solid,Topwear
17,699,1749.0,60.0,4.6,1050.0,60.0,Men,White,Oversized,T-Shirt,Solid,Topwear
18,649,1099.0,40.0,4.6,450.0,40.9,Men,Black,Oversized,T-Shirt,Printed,Topwear
19,699,1299.0,46.0,4.6,600.0,46.2,Men,Black,Oversized,T-Shirt,Graphic,Topwear
20,599,1899.0,68.0,4.3,1300.0,68.5,Men,Brown,Oversized,T-Shirt,Typography,Topwear
21,399,999.0,60.0,4.3,600.0,60.1,Men,White,Unknown,T-Shirt,Solid,Topwear
22,699,1349.0,48.0,4.3,650.0,48.2,Men,Black,Oversized,T-Shirt,Solid,Topwear
23,599,1899.0,68.0,4.3,1300.0,68.5,Men,Lavender,Oversized,T-Shirt,Graphic,Topwear
24,599,1899.0,68.0,4.3,1300.0,68.5,Men,Beige,Oversized,T-Shirt,Typography,Topwear
25,799,2199.0,63.0,4.3,1400.0,63.7,Men,Black,Oversized,T-Shirt,Graphic,Topwear
26,499,999.0,50.0,4.3,500.0,50.1,Men,Black,Unknown,T-Shirt,Graphic,Topwear
27,699,1449.0,51.0,4.3,750.0,51.8,Men,Black,Oversized,T-Shirt,Solid,Topwear
